,Player,country,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Unnamed: 14
35,Tariq Aziz,(PORT),2019-2019,4,4,16,0,70,6,11.66,4.37,16,0,0,
36,WPUJC Vaas,(Srilanka),2006-2007,6,6,22,1,128,6,21.33,5.81,22,0,0,
37,JDF Vandersay,(Srilanka),2015-2019,10,10,35,1,262,6,43.66,7.48,35,0,0,
38,Waheed Ahmed,(UAE),2019-2019,10,10,27,0,198,6,33,7.33,27,0,0,
39,KS Williamson,(Newzealand),2011-2019,57,12,19.4,0,164,6,27.33,8.33,19.6,0,0,
40,Zeshan Arif,(Aut),2019-2019,4,3,7.5,0,49,6,8.16,6.25,7.8,1,0,
41,Abdul Wahid,(Saudi),2019-2019,5,5,17,0,117,5,23.4,6.88,20.4,0,0,
42,CN Ackermann,(Netherland),2019-2019,11,10,25,0,147,5,29.4,5.88,30,0,0,
43,Ameel Mauroof,(Mald),2019-2019,10,10,23,0,173,5,34.6,7.52,27.6,0,0,
44,Amjad Sher,(Fin),2019-2019,5,5,18,2,88,5,17.6,4.88,21.6,0,0,
45,R Ankad,(Mex),2019-2019,8,8,23.4,1,178,5,35.6,7.52,28.4,0,0,
46,Anshuman Rath,(Hong Kong),2015-2017,20,13,33,0,264,5,52.8,8,39.6,0,0,
47,Arshad Hayat,(CZK0R),2019-2019,6,5,10,0,103,5,20.6,10.3,12,0,0,
48,Babar Ali,(BAH),2019-2019,3,3,9,0,70,5,14,7.77,10.8,0,0,
49,V Baskaran,(SGP),2019-2019,12,12,36,2,245,5,49,6.8,43.2,0,0,
0,S Bhari,(NEPAL),2019-2019,6,6,18,0,113,5,22.6,6.27,21.6,0,0,
1,Bilawal Bhatti,(Pakistan),2013-2015,9,9,26,0,255,5,51,9.8,31.2,0,0,
2,DR Briggs,(England),2012-2014,7,6,18,0,199,5,39.8,11.05,21.6,0,0,
3,KJ Coetzer,(Scotland),2008-2019,58,5,11,0,71,5,14.2,6.45,13.2,0,0,
4,H Dandapani,(Fin),2019-2019,5,5,15,0,90,5,18,6,18,0,0,
5,LA Dawson,(England),2016-2018,6,6,20,0,152,5,30.4,7.6,24,0,0,
6,DM de Silva,(Srilanka),2015-2019,13,7,15,0,100,5,20,6.66,18,0,0,
7,AC Douglas,(BMUDA),2019-2019,10,2,4.2,0,30,5,6,6.92,5.2,0,1,
8,A Flintoff,(England),2005-2007,7,7,25,0,161,5,32.2,6.44,30,0,0,
9,R Frylinck,(South Africa),2017-2018,3,3,10,0,62,5,12.4,6.2,12,0,0,
10,GC Galanis,(),2019-2019,2,2,4.2,0,32,5,6.4,7.38,5.2,0,0,
11,WT Gavera,(PNG),2015-2017,6,6,17,1,113,5,22.6,6.64,20.4,0,0,
12,DAS Gunaratne,(Srilanka),2016-2017,12,10,24.5,0,204,5,40.8,8.21,29.8,0,0,
13,MD Gunathilaka,(Srilanka),2016-2019,21,9,15.4,0,128,5,25.6,8.17,18.8,0,0,
14,AM Guruge,(UAE),2014-2015,5,5,16,0,125,5,25,7.81,19.2,0,0,
15,J Hurley,(Arg),2019-2019,3,3,10,0,33,5,6.6,3.3,12,0,0,
16,Imran Anwar,(BAH),2019-2019,4,4,16,0,134,5,26.8,8.37,19.2,0,0,
17,MS Kasprowicz,(Australia),2005-2005,2,2,7,0,57,5,11.4,8.14,8.4,1,0,
18,VJ Kingma,(Netherland),2016-2019,4,4,14.4,0,142,5,28.4,9.68,17.6,0,0,
19,SC Kuggeleijn,(Newzealand),2019-2019,9,9,26.5,0,260,5,52,9.68,32.2,0,0,
20,R Kumar,(ROM),2019-2019,4,3,12,0,98,5,19.6,8.16,14.4,0,0,
21,GD McGrath,(Australia),2005-2005,2,2,8,0,79,5,15.8,9.87,9.6,0,0,
22,MW Machan,(Scotland),2013-2016,13,7,22.3,0,156,5,31.2,6.93,27,0,0,
23,P Mishra,(),2019-2019,3,3,9,0,37,5,7.4,4.11,10.8,0,0,
24,DJ Mitchell,(Newzealand),2019-2019,9,5,9.1,0,89,5,17.8,9.7,11,0,0,
25,Mosaddek Hossain,(Bangladesh),2016-2019,14,12,21.4,0,160,5,32,7.38,26,0,0,
26,Muhammad Nadeem,(Saudi),2019-2019,5,2,5,0,49,5,9.8,9.8,6,0,0,
27,Muhammad Saleem,(),2019-2019,4,4,11,1,45,5,9,4.09,13.2,0,0,
28,Muhammad Wafiq,(MAL),2019-2019,4,4,16,1,114,5,22.8,7.12,19.2,0,0,
29,DM Nakrani,(UGA),2019-2019,4,4,12,0,93,5,18.6,7.75,14.4,0,0,
30,W Nalisa,(VAN),2019-2019,9,7,20,0,177,5,35.4,8.85,24,0,0,
31,Naved0ul0Hasan,(Pakistan),2006-2010,4,4,14.1,0,101,5,20.2,7.12,17,0,0,
32,RJ Nicol,(Newzealand),2010-2013,21,13,20.3,0,167,5,33.4,8.14,24.6,0,0,
33,PJ Ongondo,(KENYA),2007-2008,8,8,26,1,177,5,35.4,6.8,31.2,0,0,
34,MW Parkinson,(England),2019-2019,2,2,6,0,61,5,12.2,10.16,7.2,1,0,
35,MIA Patel,(MWI),2019-2019,3,3,12,0,83,5,16.6,6.91,14.4,0,0,
36,NK Patel,(USA),2019-2019,4,4,13,1,61,5,12.2,4.69,15.6,0,0,
37,SS Pathirana,(Srilanka),2016-2017,5,5,15.5,0,119,5,23.8,7.51,19,0,0,
38,K Pierre,(West Indies),2018-2019,8,8,23,0,203,5,40.6,8.82,27.6,0,0,
39,J Rasu,(VAN),2019-2019,13,2,3.5,0,44,5,8.8,11.47,4.6,0,1,
40,DMW Rawlins,(BMUDA),2019-2019,11,11,37,0,285,5,57,7.7,44.4,0,0,
41,Raza Iqbal,(NOR),2019-2019,5,4,13,0,85,5,17,6.53,15.6,0,0,
42,LH Rodrigues,(),2019-2019,4,4,13,1,61,5,12.2,4.69,15.6,0,0,
43,HAM Shah,(DEN),2019-2019,9,4,10,0,86,5,17.2,8.6,12,1,0,
44,KD Shah,(Hong Kong),2014-2019,26,9,24,1,190,5,38,7.91,28.8,0,0,
45,V Shankar,(INDIA),2018-2019,9,6,21,0,191,5,38.2,9.09,25.2,0,0,
46,Sharafuddin Ashraf,(Afghanistan),2015-2019,8,8,25,1,201,5,40.2,8.04,30,0,0,
47,Sohail Khan,(Pakistan),2008-2017,5,5,15,0,123,5,24.6,8.2,18,0,0,
48,ACF Stokes,(GUE),2019-2019,7,7,23.2,0,152,5,30.4,6.51,28,0,0,
49,Tauqeer Hussain,(ESP),2019-2019,4,4,9.3,0,48,5,9.6,5.05,11.4,0,0,
0,RML Taylor,(Scotland),2013-2016,9,9,25,1,196,5,39.2,7.84,30,0,0,
1,RJW Topley,(England),2015-2016,6,6,17.1,0,173,5,34.6,10.07,20.6,0,0,
2,Usama Master,(MWI),2019-2019,6,5,13.1,0,106,5,21.2,8.05,15.8,0,0,
3,LV van Beek,(Netherland),2014-2016,8,7,17,0,160,5,32,9.41,20.4,0,0,
4,W Viraliliu,(VAN),2019-2019,10,9,20.2,0,164,5,32.8,8.06,24.4,0,0,
5,S Waqas Ahmed,(NOR),2019-2019,5,4,10,0,83,5,16.6,8.3,12,0,0,
6,AA Westphal,(Mex),2019-2019,5,5,19,0,65,5,13,3.42,22.8,0,0,
7,BTJ Wheal,(Scotland),2016-2017,5,5,17.2,0,143,5,28.6,8.25,20.8,0,0,
8,Yamin Ahmadzai,(Afghanistan),2015-2015,2,2,7.1,0,65,5,13,9.06,8.6,0,0,
9,Yasar Haroon,(),2019-2019,4,4,13,1,72,5,14.4,5.53,15.6,0,0,
10,Yasir Ali,(ESP),2019-2019,9,5,9.5,0,52,5,10.4,5.28,11.8,0,0,
11,Abul Hasan,(Bangladesh),2012-2018,5,5,14,0,148,4,37,10.57,21,0,0,
12,Abu Jayed,(Bangladesh),2018-2018,3,3,11,0,106,4,26.5,9.63,16.5,0,0,
13,Afif Hossain,(Bangladesh),2018-2019,8,5,10,1,79,4,19.75,7.9,15,0,0,
14,SA Ahmad,(DEN),2019-2019,5,3,9,1,40,4,10,4.44,13.5,0,0,
15,D Ajekun,(NGA),2019-2019,6,6,11.1,0,76,4,19,6.8,16.7,0,0,
16,DI Allan,(KENYA),2012-2013,10,7,9.2,0,82,4,20.5,8.78,14,0,0,
17,MA Aponso,(Srilanka),2018-2018,3,3,10,0,79,4,19.75,7.9,15,0,0,
18,Arslan Ahmed,(),2019-2019,3,3,9,1,40,4,10,4.44,13.5,0,0,
19,Ashiqullah Said,(Belg),2019-2019,3,3,11,0,82,4,20.5,7.45,16.5,0,0,
20,A Aspiotis,(),2019-2019,3,3,11,0,71,4,17.75,6.45,16.5,0,0,
21,Asrar Ahmed,(),2019-2019,3,3,10,2,46,4,11.5,4.6,15,0,0,
22,NJ Astle,(Newzealand),2005-2006,4,2,6.5,0,50,4,12.5,7.31,10.2,0,0,
23,R Avery,(),2019-2019,4,4,11,0,66,4,16.5,6,16.5,0,0,
24,JD Baker,(Samoa),2019-2019,4,4,13,0,107,4,26.75,8.23,19.5,0,0,
25,HMCM Bandara,(Srilanka),2006-2009,4,4,14,0,96,4,24,6.85,21,0,0,
26,HH Banner,(Blz),2019-2019,3,3,12,1,67,4,16.75,5.58,18,0,0,
27,MD Bates,(Newzealand),2012-2012,3,3,11,0,107,4,26.75,9.72,16.5,0,0,
28,S Bau,(PNG),2016-2019,23,10,14,0,79,4,19.75,5.64,21,0,0,
29,TS Braat,(Netherland),2019-2019,3,3,10,0,70,4,17.5,7,15,0,0,
30,GB Brent,(Zimbabve),2006-2007,3,3,11,0,93,4,23.25,8.45,16.5,0,0,
31,J Bulele,(Moz),2019-2019,7,5,14.2,0,107,4,26.75,7.46,21.5,0,0,
32,DE Burgess,(Samoa),2019-2019,4,3,8.3,0,86,4,21.5,10.11,12.7,0,0,
33,PP Chawla,(INDIA),2010-2012,7,7,23,1,151,4,37.75,6.56,34.5,0,0,
34,MD Dai,(PNG),2015-2017,9,9,25,0,157,4,39.25,6.28,37.5,0,0,
35,I Danladi,(NGA),2019-2019,3,3,9,0,52,4,13,5.77,13.5,0,0,
36,K Dasan,(),2019-2019,3,2,8,0,52,4,13,6.5,12,0,0,
37,JM Davison,(Canada),2008-2010,5,5,18,0,91,4,22.75,5.05,27,0,0,
38,RR Emrit,(West Indies),2018-2018,4,4,16,0,156,4,39,9.75,24,0,0,
39,S Goustis,(),2019-2019,3,3,9,1,42,4,10.5,4.66,13.5,0,0,
40,Jandu Hamoud,(KUW),2019-2019,6,6,16,0,112,4,28,7,24,0,0,
41,RJ Harris,(Australia),2010-2010,3,3,11.4,1,95,4,23.75,8.14,17.5,0,0,
42,MC Henriques,(Australia),2009-2017,11,7,17,0,158,4,39.5,9.29,25.5,0,0,
43,MG Hunter,(GIBR),2019-2019,4,4,11.3,0,63,4,15.75,5.47,17.2,0,0,
44,Hussain Talat,(Pakistan),2018-2019,14,6,6,0,54,4,13.5,9,9,0,0,
45,AF Ifill,(Caym),2019-2019,6,6,18.3,1,151,4,37.75,8.16,27.7,0,0,
46,Imran Bulbulia,(PNM),2019-2019,3,3,10,0,59,4,14.75,5.9,15,0,0,
47,RK Inampud,(Mex),2019-2019,3,3,12,0,68,4,17,5.66,18,0,0,
48,DF Jacobs,(THAI),2019-2019,4,2,5,0,26,4,6.5,5.2,7.5,1,0,
49,Joginder Sharma,(INDIA),2007-2007,4,4,14.3,0,138,4,34.5,9.51,21.7,0,0,
0,MO Jones,(BMUDA),2019-2019,8,7,15,0,116,4,29,7.73,22.5,0,0,
1,MBS Jonkman,(Netherland),2010-2010,3,3,8,0,47,4,11.75,5.87,12,0,0,
2,S Kaul,(INDIA),2018-2019,3,3,9.4,0,84,4,21,8.68,14.5,0,0,
3,S Kizilkaya,(TKY),2019-2019,4,4,9,0,74,4,18.5,8.22,13.5,0,0,
4,V Kohli,(INDIA),2010-2019,75,12,24.2,0,198,4,49.5,8.13,36.5,0,0,
5,A Krishna,(SGP),2019-2019,4,4,12,0,121,4,30.25,10.08,18,0,0,
6,GA Lamb,(Zimbabve),2010-2010,5,5,12.1,0,80,4,20,6.57,18.2,0,0,
7,A Lark,(Aut),2019-2019,5,4,10.5,0,55,4,13.75,5.07,16.2,0,0,
8,E Leie,(South Africa),2015-2015,2,2,6,0,48,4,12,8,9,0,0,
9,J Lewis,(England),2005-2007,2,2,7,0,55,4,13.75,7.85,10.5,1,0,
10,ML Lewis,(Australia),2006-2006,2,2,7.3,0,49,4,12.25,6.53,11.2,0,0,
11,T Lungameni,(NAM),2019-2019,6,6,16,1,88,4,22,5.5,24,0,0,
12,CJ McKay,(Australia),2010-2013,6,6,22.4,1,183,4,45.75,8.07,34,0,0,
13,CS MacLeod,(Scotland),2009-2019,49,11,23,0,174,4,43.5,7.56,34.5,0,0,
14,SW Masakadza,(Zimbabve),2010-2013,7,7,19.3,0,211,4,52.75,10.82,29.2,0,0,
15,GE Mathurin,(West Indies),2011-2012,3,3,10,0,65,4,16.25,6.5,15,0,0,
16,Mehidy Hasan Miraz,(Bangladesh),2017-2018,13,13,36,0,330,4,82.5,9.16,54,0,0,
17,K Mendon,(CZK0R),2019-2019,6,5,8.4,0,78,4,19.5,9,13,0,0,
18,Mohammad Ahsan,(KUW),2019-2019,6,6,20,0,192,4,48,9.6,30,0,0,
19,Mohammad Kashif,(Netherland),2010-2010,3,3,7,0,55,4,13.75,7.85,10.5,0,0,
20,PL Mommsen,(Scotland),2012-2016,24,7,23,0,164,4,41,7.13,34.5,0,0,
21,JK Mukhiya,(NEPAL),2014-2015,4,4,10,0,56,4,14,5.6,15,0,0,
22,C Munro,(Newzealand),2012-2019,60,12,19.4,0,186,4,46.5,9.45,29.5,0,0,
23,N M'shangwe,(Zimbabve),2013-2014,5,5,16,0,142,4,35.5,8.87,24,0,0,
24,Najjam Shahzad,(PORT),2019-2019,4,4,12.2,0,65,4,16.25,5.27,18.5,0,0,
25,Nawroz Mangal,(Afghanistan),2010-2017,32,6,10,0,80,4,20,8,15,0,0,
26,Nazril Rahman,(MAL),2019-2019,7,7,17,0,166,4,41.5,9.76,25.5,0,0,
27,SN Netravalkar,(USA),2019-2019,8,8,22.4,0,161,4,40.25,7.1,34,0,0,
28,JO Ngoche,(KENYA),2012-2013,7,7,24,0,140,4,35,5.83,36,0,0,
29,Nizakat Khan,(Hong Kong),2014-2019,34,5,14,0,83,4,20.75,5.92,21,0,0,
30,AA Noffke,(Australia),2007-2008,2,2,7.3,1,41,4,10.25,5.46,11.2,0,0,
31,GM Ntambalika,(MWI),2019-2019,3,3,9,0,56,4,14,6.22,13.5,0,0,
32,LN Onyango,(KENYA),2007-2010,5,5,13,0,128,4,32,9.84,19.5,0,0,
33,MM Patel,(INDIA),2011-2011,3,3,10,0,86,4,21.5,8.6,15,0,0,
34,RR Patel,(KENYA),2008-2019,30,7,15,0,104,4,26,6.93,22.5,0,0,
35,VD Philander,(South Africa),2007-2007,7,6,13.5,0,114,4,28.5,8.24,20.7,0,0,
36,S Pillai,(CRC),2019-2019,3,3,8.4,0,56,4,14,6.46,13,0,0,
37,EB Ringera,(KENYA),2019-2019,1,1,4,0,18,4,4.5,4.5,6,1,0,
38,S Rossi,(Arg),2019-2019,5,3,6.5,2,21,4,5.25,3.07,10.2,0,0,
39,Sahir Naqash,(GER),2019-2019,7,5,9,0,52,4,13,5.77,13.5,0,0,
40,O Sam Arthur,(CRC),2019-2019,3,3,9,0,76,4,19,8.44,13.5,0,0,
41,MM Sarwar,(KUW),2019-2019,5,4,10.4,0,99,4,24.75,9.28,16,0,0,
42,A Sathya,(Mex),2019-2019,3,3,11.3,0,76,4,19,6.6,17.2,0,0,
43,CP Schofield,(England),2007-2007,4,4,12.5,0,92,4,23,7.16,19.2,0,0,
44,L Shafeeg,(Mald),2019-2019,3,3,11,0,76,4,19,6.9,16.5,0,0,
45,Shahadat Hossain,(Bangladesh),2006-2013,6,6,20,0,198,4,49.5,9.9,30,0,0,
46,NK Shetty,(Mex),2019-2019,2,2,8,0,42,4,10.5,5.25,12,0,0,
47,L Sipamla,(South Africa),2019-2019,5,5,15.4,0,131,4,32.75,8.36,23.5,0,0,
48,Sohag Gazi,(Bangladesh),2012-2015,10,10,35,1,299,4,74.75,8.54,52.5,0,0,
49,DC Stovell,(BMUDA),2019-2019,6,6,17.2,0,126,4,31.5,7.26,26,0,0,
0,AO Suji,(KENYA),2007-2010,8,6,16.1,1,116,4,29,7.17,24.2,0,0,
1,Syed Aziz,(MAL),2019-2019,14,8,24.5,0,187,4,46.75,7.53,37.2,0,0,
2,Syed Rasel,(Bangladesh),2007-2008,8,8,29,2,202,4,50.5,6.96,43.5,0,0,
3,A Uniyal,(Chile),2019-2019,3,3,9,1,59,4,14.75,6.55,13.5,0,0,
4,Usman Ali,(Saudi),2019-2019,5,5,19,0,130,4,32.5,6.84,28.5,0,0,
5,TCW Veillard,(GUE),2019-2019,4,4,16,0,93,4,23.25,5.81,24,0,0,
6,BV Vitori,(Zimbabve),2012-2016,11,11,39.4,0,323,4,80.75,8.14,59.5,0,0,
7,Waqas Barkat,(Hong Kong),2014-2019,22,10,21.2,0,152,4,38,7.12,32,0,0,
8,SMK Waththage,(CZK0R),2019-2019,5,5,12,3,66,4,16.5,5.5,18,0,0,
9,K Weeraratne,(Srilanka),2008-2009,5,5,15,0,126,4,31.5,8.4,22.5,1,0,
10,CM Wright,(Scotland),2007-2009,3,2,5,0,49,4,12.25,9.8,7.5,0,0,
11,SA Abbott,(Australia),2014-2019,4,4,10,0,61,3,20.33,6.1,20,0,0,
12,AS Abioye,(NGA),2019-2019,5,4,10,0,87,3,29,8.7,20,0,0,
13,AR Adams,(Newzealand),2005-2006,4,4,12.5,0,105,3,35,8.18,25.6,0,0,
14,AB Agarkar,(INDIA),2006-2007,4,3,10.3,1,85,3,28.33,8.09,21,0,0,
15,A Ahmadhel,(),2019-2019,3,3,10,0,75,3,25,7.5,20,0,0,
16,S Appu,(MALTA),2019-2019,4,4,9,0,74,3,24.66,8.22,18,0,0,
17,MNM Aslam,(KUW),2019-2019,6,5,14,0,85,3,28.33,6.07,28,0,0,
18,TD Astle,(Newzealand),2016-2019,3,3,8,0,69,3,23,8.62,16,0,0,
19,V Ateak,(Ghana),2019-2019,4,3,11,0,94,3,31.33,8.54,22,0,0,
20,MS Aulakh,(Canada),2012-2013,3,3,9,0,82,3,27.33,9.11,18,0,0,
21,G Bakiweyem,(Ghana),2019-2019,3,3,10,0,62,3,20.66,6.2,20,0,0,
22,S Bantzas,(),2019-2019,1,1,3,0,12,3,4,4,6,0,0,
23,F Behardien,(South Africa),2012-2018,38,3,5,0,27,3,9,5.4,10,0,0,
24,P Bhart,(NOR),2019-2019,5,4,12,1,68,3,22.66,5.66,24,0,0,
25,PRP Boissevain,(Netherland),2019-2019,4,4,16,0,116,3,38.66,7.25,32,0,0,
26,SM Boland,(Australia),2016-2016,3,3,11,0,90,3,30,8.18,22,0,0,
27,PR Brown,(England),2019-2019,4,4,13,0,128,3,42.66,9.84,26,0,0,
28,P Buccimazza,(PORT),2019-2019,4,4,13,0,86,3,28.66,6.61,26,0,0,
29,N Buckle,(GUE),2019-2019,3,3,10,0,76,3,25.33,7.6,20,0,0,
30,CG Burnett,(Scotland),2013-2013,1,1,4,0,18,3,6,4.5,8,0,0,
31,HL Carlyon,(JER),2019-2019,9,3,6,0,42,3,14,7,12,0,0,
32,MS Chapman,(HKG/NZ),2014-2018,24,4,10,0,77,3,25.66,7.7,20,0,0,
33,M Chauhan,(Fin),2019-2019,2,2,8,1,38,3,12.66,4.75,16,0,0,
34,TLW Cooper,(Netherland),2012-2016,18,9,17,0,132,3,44,7.76,34,0,0,
35,M Cope,(LUX),2019-2019,2,2,5,0,61,3,20.33,12.2,10,0,0,
36,BCJ Cutting,(Australia),2013-2017,7,7,21,0,215,3,71.66,10.23,42,0,0,
37,TH David,(SGP),2019-2019,12,9,22.2,0,202,3,67.33,9.04,44.6,0,0,
38,NS Dhaliwal,(Canada),2019-2019,12,5,8,0,43,3,14.33,5.37,16,0,0,
39,SDJJ Dima,(Moz),2019-2019,4,2,5,0,57,3,19,11.4,10,0,0,
40,S Dube,(INDIA),2019-2019,6,6,12.3,0,114,3,38,9.12,25,0,0,
41,RMS Eranga,(Srilanka),2012-2013,3,3,11,0,90,3,30,8.18,22,0,0,
42,L Evile,(Samoa),2019-2019,4,4,12,1,67,3,22.33,5.58,24,0,0,
43,Farhan Ahmed,(UAE),2016-2016,3,3,9,0,66,3,22,7.33,18,0,0,
44,Fawad Ahmed,(Australia),2013-2013,2,2,8,0,68,3,22.66,8.5,16,0,0,
45,B Fernando,(Srilanka),2015-2015,2,2,7.2,0,71,3,23.66,9.68,14.6,0,0,
46,P Florin,(ROM),2019-2019,4,2,1.4,0,10,3,3.33,6,3.3,0,0,
47,BC Fortuin,(South Africa),2019-2019,2,2,7,0,51,3,17,7.28,14,0,0,
48,ST Gabriel,(West Indies),2013-2013,2,2,7,0,56,3,18.66,8,14,0,0,
49,CJ Gannon,(USA),2019-2019,4,3,9,0,67,3,22.33,7.44,18,0,0,
0,D Gough,(England),2005-2006,2,2,6.5,0,49,3,16.33,7.17,13.6,0,0,
1,TGJ Gruijters,(Netherland),2012-2013,8,5,12,0,74,3,24.66,6.16,24,0,0,
2,HF Gurney,(England),2014-2014,2,2,8,0,55,3,18.33,6.87,16,0,0,
3,AJ Hall,(South Africa),2006-2006,2,2,8,0,60,3,20,7.5,16,0,0,
4,SM Harwood,(Australia),2007-2009,3,3,12,0,113,3,37.66,9.41,24,0,0,
5,Hayatullah Niazi,(NOR),2019-2019,4,4,10,0,81,3,27,8.1,20,0,0,
6,J Hill,(PHI),2019-2019,4,2,6,0,50,3,16.66,8.33,12,0,0,
7,J Hirschi,(MALTA),2019-2019,4,4,11,0,96,3,32,8.72,22,0,0,
8,Z Hoque,(THAI),2019-2019,3,3,12,0,51,3,17,4.25,24,0,0,
9,JJ Huo,(Moz),2019-2019,7,3,10,0,56,3,18.66,5.6,20,0,0,
10,Ijaz Hussain,(ROM),2019-2019,3,3,9.5,0,89,3,29.66,9.05,19.6,0,0,
11,D Jakiel,(Zimbabve),2019-2019,2,2,7,0,44,3,14.66,6.28,14,0,0,
12,GSNFG Jayasuriya,(Srilanka),2015-2019,16,10,21.5,0,202,3,67.33,9.25,43.6,0,0,
13,Kaleemullah,(OMAN),2017-2019,6,6,19,1,132,3,44,6.94,38,0,0,
14,Kaleem Shah,(Moz),2019-2019,7,6,17,0,130,3,43.33,7.64,34,0,0,
15,E Katchay,(Canada),2008-2008,4,4,10,0,71,3,23.66,7.1,20,0,0,
16,SKW Kelly,(BMUDA),2008-2008,3,3,7,0,50,3,16.66,7.14,14,0,0,
17,P Kerai,(KENYA),2019-2019,6,5,11,0,82,3,27.33,7.45,22,0,0,
18,J Kila,(PNG),2019-2019,12,9,17,0,99,3,33,5.82,34,0,0,
19,AC Kose,(TKY),2019-2019,4,2,8,0,116,3,38.66,14.5,16,0,0,
20,DS Kulkarni,(INDIA),2016-2016,2,2,8,0,55,3,18.33,6.87,16,0,0,
21,CBRLS Kumara,(Srilanka),2019-2019,3,3,12,0,97,3,32.33,8.08,24,0,0,
22,UKPW Kumaranayaka,(KUW),2019-2019,3,3,12,0,102,3,34,8.5,24,0,0,
23,NCK Liyanage,(MAL),2019-2019,6,5,14,0,100,3,33.33,7.14,28,0,0,
24,DL Maddy,(England),2007-2007,4,2,3,0,26,3,8.66,8.66,6,0,0,
25,S Mahmood,(England),2019-2019,3,3,10,0,115,3,38.33,11.5,20,0,0,
26,SI Mahmood,(England),2006-2009,4,4,14,0,155,3,51.66,11.07,28,0,0,
27,MSS Mandy,(Chile),2019-2019,4,3,8,0,43,3,14.33,5.37,16,0,0,
28,Mansoor Amjad,(Pakistan),2008-2008,1,1,1,0,3,3,1,3,2,0,0,
29,TS Mills,(England),2016-2018,5,5,19,1,129,3,43,6.78,38,0,0,
30,T Mishra,(KENYA),2007-2013,15,2,5,0,33,3,11,6.6,10,0,0,
31,K Modise,(Botsw),2019-2019,3,2,5,0,41,3,13.66,8.2,10,0,0,
32,Mohammad Ghazanfar,(Hong Kong),2019-2019,5,5,14,0,85,3,28.33,6.07,28,0,0,
33,Mohammad Hasnain,(Pakistan),2019-2019,4,4,16,0,137,3,45.66,8.56,32,0,0,
34,Mohammed Siraj,(INDIA),2017-2018,3,3,12,0,148,3,49.33,12.33,24,0,0,
35,Musa Shaheen,(DEN),2019-2019,1,1,2.2,0,11,3,3.66,4.71,4.6,0,0,
36,Naeem Islam,(Bangladesh),2008-2013,10,6,15,0,122,3,40.66,8.13,30,0,0,
37,A Nathwani,(Aut),2019-2019,5,4,10,0,79,3,26.33,7.9,20,0,0,
38,MP O'Dowd,(Netherland),2015-2019,36,9,12.4,0,119,3,39.66,9.39,25.3,0,0,
39,HC Overdijk,(Netherland),2018-2019,4,3,8,0,72,3,24,9,16,0,0,
40,SD Parry,(England),2014-2015,5,5,16,0,138,3,46,8.62,32,0,0,
41,JL Pattinson,(Australia),2011-2012,4,4,13,0,104,3,34.66,8,26,0,0,
42,MDK Perera,(Srilanka),2011-2011,3,3,10,0,72,3,24,7.2,20,0,0,
43,J Perman,(ESP),2019-2019,2,2,8,0,41,3,13.66,5.12,16,0,0,
44,R Pisal,(ROM),2019-2019,1,1,3,0,4,3,1.33,1.33,6,0,0,
45,D Pretorius,(South Africa),2017-2019,6,6,14,0,116,3,38.66,8.28,28,0,0,
46,P Raho,(PNG),2016-2016,2,2,3,0,20,3,6.66,6.66,6,0,0,
47,Raja Adeel,(ESP),2019-2019,3,3,11,0,36,3,12,3.27,22,0,0,
48,RJ Ranpura,(OMAN),2015-2016,3,2,6,0,32,3,10.66,5.33,12,0,0,
49,KB Ratilal,(PNM),2019-2019,3,3,12,0,61,3,20.33,5.08,24,0,0,
0,WJR Robertson,(JER),2019-2019,6,6,18.1,1,101,3,33.66,5.55,36.3,0,0,
1,M Sert,(TKY),2019-2019,4,4,10,0,93,3,31,9.3,20,0,0,
2,A Shahzad,(England),2010-2011,3,3,11,0,97,3,32.33,8.81,22,0,0,
3,R Sharma,(INDIA),2012-2012,2,2,7.2,0,56,3,18.66,7.63,14.6,0,0,
4,Shiraz Khan,(KUW),2019-2019,6,6,20,0,140,3,46.66,7,40,0,0,
5,Shoaib Ali,(Saudi),2019-2019,5,5,15.3,0,129,3,43,8.32,31,0,0,
6,DJM Short,(Australia),2018-2019,20,9,19,0,151,3,50.33,7.94,38,0,0,
7,PM Siddle,(Australia),2009-2010,2,2,8,0,58,3,19.33,7.25,16,0,0,
8,Sikander Zulfiqar,(Netherland),2016-2019,11,7,10,0,79,3,26.33,7.9,20,0,0,
9,KM Silva,(),2019-2019,3,2,3,0,18,3,6,6,6,0,0,
10,M Simpson0Parker,(Aut),2019-2019,3,3,5,0,40,3,13.33,8,10,0,0,
11,S Singh,(PHI),2019-2019,4,4,11,0,110,3,36.66,10,22,0,0,
12,DC Smith,(PHI),2019-2019,4,4,11,0,89,3,29.66,8.09,22,0,0,
13,A Srivastav,(Chile),2019-2019,4,3,8,0,73,3,24.33,9.12,16,0,0,
14,H Ssenyondo,(UGA),2019-2019,4,3,10,0,48,3,16,4.8,20,0,0,
15,JH Stander,(Scotland),2009-2012,11,7,13.3,0,156,3,52,11.55,27,0,0,
16,Suhail Sadiq,(LUX),2019-2019,2,2,6,0,45,3,15,7.5,12,0,0,
17,Syazrul Idrus,(MAL),2019-2019,2,2,7,0,64,3,21.33,9.14,14,0,0,
18,Tahir Dar,(BAH),2019-2019,4,4,14,0,128,3,42.66,9.14,28,0,0,
19,Tanveer Ahmed,(Hong Kong),2016-2017,5,5,13.3,0,116,3,38.66,8.59,27,0,0,
